,ID,SalePrice,BuildingClass,ZoningClass,LotFrontageFt,LotAreaSqFt,StreetType,AlleyAccess,LotShape,LandContour,UtilityAccess,LotConfiguration,LandSlopeType,NeighborhoodName,ConditionPrimary,ConditionSecondary,BuildingType,HouseStyle,OverallQuality,OverallCondition,YearBuilt,YearRemodeled,RoofStyle,RoofMaterial,ExteriorCovering1,ExteriorCovering2,MasonryType,MasonryArea,ExteriorQuality,ExteriorCondition,FoundationType,BasementQuality,BasementCondition,BasementExposure,BasementFinishType1,BasementFinishedArea1,BasementFinishType2,BasementFinishedArea2,BasementUnfinishedSF,TotalBasementSF,HeatingType,HeatingQuality,CentralAirConditioning,ElectricalSystem,FirstFloorSF,SecondFloorSF,LowQualitySF,AboveGroundLivingArea,BasementFullBath,BasementHalfBath,FullBathrooms,HalfBathrooms,BedroomsAboveGround,KitchensAboveGround,KitchenQuality,TotalRoomsAboveGround,Functionality,NumberOfFireplaces,FireplaceQuality,GarageType,GarageYearBuilt,GarageFinishType,GarageCapacity,GarageArea,GarageQuality,GarageCondition,DrivewayPaved,WoodDeckArea,OpenPorchArea,EnclosedPorchArea,ThreeSeasonPorchArea,ScreenPorchArea,PoolArea,PoolQuality,FenceType,MiscellaneousFeature,MiscellaneousValue,MonthSold,YearSold,SaleType,SaleCondition,LotFrontageFtnan,MasonryAreanan,GarageYearBuiltnan
258,259,12.352335152508426,0.2352941176470588,0.75,0.49506374709743084,0.4419589818980316,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.6363636363636364,0.4,1.0,0.75,1.0,0.6666666666666665,0.5,0.051470588235294115,0.13114754098360656,0.0,0.0,1.0,1.0,0.6666666666666666,0.1075,0.6666666666666666,1.0,1.0,0.75,0.75,0.25,1.0,0.06396172927002126,0.8333333333333333,0.0,0.2577054794520548,0.15761047463175124,1.0,1.0,1.0,1.0,0.4007277773301672,0.401452784503632,0.0,0.5942815777216213,0.0,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.6666666666666666,0.41666666666666663,1.0,0.3333333333333333,0.6000000000000001,0.8,0.06542056074766354,0.6666666666666666,0.5,0.39774330042313116,0.6666666666666666,1.0,1.0,0.0,0.17550274223034734,0.0,0.4822834645669291,0.0,0.0,0.0,1.0,1.0,0.0,0.36363636363636365,0.5,0.6666666666666666,0.75,0.0,0.0,0.0
267,268,12.097930486910471,0.32352941176470584,0.75,0.38858111692291897,0.3651823740380262,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.3181818181818182,0.4,1.0,0.75,0.4,0.4444444444444445,0.875,0.5073529411764706,0.19672131147540983,0.0,0.0,0.2,0.1,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.5,0.75,0.25,0.5,0.06697377746279234,0.8333333333333333,0.0,0.1464041095890411,0.11783960720130934,1.0,1.0,1.0,1.0,0.4341793865792809,0.3486682808716707,0.7342657342657343,0.6655559106145232,0.0,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,1.0,0.3333333333333333,0.8,0.4,0.6448598130841121,0.3333333333333333,0.25,0.1692524682651622,0.6666666666666666,1.0,1.0,0.3057176196032672,0.043875685557586835,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5454545454545454,0.5,0.6666666666666666,0.75,0.0,0.0,0.0
288,289,11.711776323715394,0.0,0.75,0.4403125963841563,0.39573139973572724,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.2727272727272727,0.4,1.0,0.75,0.6000000000000001,0.4444444444444445,0.5,0.3161764705882353,0.7213114754098361,0.0,0.0,0.4,0.30000000000000004,0.6666666666666666,0.019375,0.3333333333333333,0.6666666666666666,0.5,0.5,0.75,0.25,0.3333333333333333,0.07973068745570518,0.8333333333333333,0.0,0.18493150684931506,0.14435351882160394,1.0,0.5,1.0,1.0,0.37512348811968543,0.0,0.0,0.35065629727097036,0.0,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.3333333333333333,0.24999999999999997,1.0,0.0,0.2,0.4,0.37383177570093457,0.3333333333333333,0.25,0.19746121297602257,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.09090909090909091,1.0,0.6666666666666666,0.75,1.0,0.0,0.0
649,650,11.344506813345266,0.9411764705882353,0.25,0.0,0.07794628300477324,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.045454545454545456,0.4,1.0,0.25,0.0,0.3333333333333333,0.625,0.27205882352941174,0.6229508196721312,0.0,0.0,0.9,0.9,0.3333333333333333,0.0,0.3333333333333333,1.0,0.5,0.75,0.75,0.75,0.3333333333333333,0.02321048901488306,0.6666666666666666,0.33853459972862954,0.0,0.10310965630114567,1.0,0.75,1.0,1.0,0.2401457931059543,0.0,0.0,0.22448243653798405,0.3333333333333333,0.0,0.3333333333333333,0.0,0.125,0.3333333333333333,0.3333333333333333,0.08333333333333334,1.0,0.0,0.2,0.0,0.2523364485981308,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.9999999999999999,0.25,0.6666666666666666,0.75,0.0,0.0,1.0
1233,1234,11.863582336583399,0.0,0.75,0.4403125963841563,0.43758211859685203,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.36363636363636365,0.4,1.0,0.75,0.6000000000000001,0.4444444444444445,0.5,0.375,0.8524590163934427,1.0,0.0,0.7000000000000001,0.7000000000000001,0.6666666666666666,0.1125,0.3333333333333333,1.0,0.5,0.5,0.75,0.25,0.16666666666666666,0.17717930545712263,0.8333333333333333,0.0,0.08047945205479451,0.1944353518821604,1.0,0.25,1.0,1.0,0.4801885971370772,0.0,0.0,0.44886860139801765,0.3333333333333333,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.3333333333333333,0.33333333333333337,1.0,0.0,0.2,0.8,0.47663551401869153,0.6666666666666666,0.5,0.37447108603667134,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.36363636363636365,1.0,0.0,0.0,1.0,0.0,0.0
167,168,12.693498620467778,0.2352941176470588,0.75,0.5218325137269542,0.4100076727826727,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.9545454545454546,0.4,1.0,0.75,1.0,0.7777777777777777,0.5,0.0,0.01639344262295082,0.0,0.0,1.0,1.0,1.0,0.1875,0.6666666666666666,1.0,1.0,1.0,0.75,0.25,1.0,0.22820694542877393,0.8333333333333333,0.0,0.12585616438356165,0.2589198036006547,1.0,1.0,1.0,1.0,0.5952183185828055,0.26682808716707024,0.0,0.6605173422588271,0.3333333333333333,0.0,0.3333333333333333,0.5,0.375,0.3333333333333333,1.0,0.5,1.0,0.3333333333333333,0.8,0.8,0.0,1.0,0.75,0.5564174894217208,0.6666666666666666,1.0,1.0,0.20770128354725786,0.21937842778793418,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9090909090909091,0.25,1.0,1.0,0.0,0.0,0.0
926,927,12.560244459250788,0.2352941176470588,0.75,0.5507967785899157,0.4349734892945434,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.9545454545454546,0.4,1.0,0.75,1.0,0.7777777777777777,0.5,0.029411764705882353,0.06557377049180328,1.0,0.0,1.0,1.0,0.6666666666666666,0.2125,0.6666666666666666,1.0,1.0,0.75,0.75,0.25,0.8333333333333333,0.0,0.8333333333333333,0.0,0.5055650684931506,0.1932896890343699,1.0,1.0,1.0,1.0,0.49456516841176956,0.5520581113801453,0.0,0.6937717145361306,0.0,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,0.8,1.0,0.037383177570093455,1.0,0.75,0.46262341325811,0.6666666666666666,1.0,1.0,0.12135355892648773,0.18281535648994515,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.36363636363636365,0.25,0.6666666666666666,0.75,0.0,0.0,0.0
831,832,11.925035115797062,0.8235294117647058,1.0,0.13201964871936434,0.17507236029671902,1.0,0.5,0.0,0.3333333333333333,1.0,0.0,0.0,0.8181818181818182,0.4,1.0,1.0,1.0,0.6666666666666665,0.5,0.007352941176470588,0.03278688524590164,0.0,0.0,0.4,0.30000000000000004,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.75,0.75,0.25,0.8333333333333333,0.0,0.8333333333333333,0.0,0.2568493150684931,0.09819967266775778,1.0,1.0,1.0,1.0,0.16752783558405193,0.29055690072639223,0.13986013986013987,0.4524239105046681,0.0,0.0,0.6666666666666666,0.5,0.25,0.3333333333333333,0.6666666666666666,0.16666666666666666,1.0,0.0,0.2,0.4,0.009345794392523364,0.6666666666666666,0.5,0.3385049365303244,0.6666666666666666,1.0,1.0,0.0,0.30347349177330896,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4545454545454545,0.0,0.6666666666666666,0.75,0.0,0.0,0.0
1237,1238,12.180754837545884,0.2352941176470588,0.75,0.24764200147754112,0.4412968157344148,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.0,0.6363636363636364,0.4,1.0,0.75,1.0,0.6666666666666665,0.5,0.014705882352941176,0.03278688524590164,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,0.75,0.75,0.25,0.8333333333333333,0.0,0.8333333333333333,0.0,0.36258561643835613,0.1386252045826514,1.0,1.0,1.0,1.0,0.3521548281966784,0.5331719128329298,0.0,0.6238094285374096,0.0,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,1.0,0.3333333333333333,0.8,1.0,0.018691588785046728,1.0,0.5,0.30606488011283495,0.6666666666666666,1.0,1.0,0.11668611435239205,0.08775137111517367,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7272727272727273,0.0,0.6666666666666666,0.75,0.0,0.0,0.0
426,427,12.524526376648708,0.3529411764705882,0.75,0.4403125963841563,0.44762109918102766,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.5,0.4545454545454546,0.4,1.0,0.75,0.8,0.6666666666666665,0.5,0.14705882352941177,0.34426229508196726,0.0,0.0,0.2,0.1,0.6666666666666666,0.090625,0.6666666666666666,1.0,1.0,0.75,0.75,1.0,1.0,0.2689581856839121,0.8333333333333333,0.0,0.0,0.2484451718494272,1.0,0.75,1.0,1.0,0.6031268633146039,0.0,0.0,0.5637882973808255,0.3333333333333333,0.5,0.6666666666666666,0.0,0.25,0.3333333333333333,0.6666666666666666,0.24999999999999997,1.0,0.3333333333333333,0.6000000000000001,0.8,0.18691588785046728,1.0,0.5,0.4012693935119887,0.6666666666666666,1.0,1.0,0.09334889148191364,0.0,0.0,0.0,0.825,0.0,0.0,1.0,1.0,0.0,0.6363636363636364,0.75,0.6666666666666666,0.75,1.0,0.0,0.0
487,488,12.072541252905651,0.0,0.75,0.44563844305834177,0.4389134787785489,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.5454545454545454,0.4,1.0,0.75,0.6000000000000001,0.4444444444444445,0.625,0.2647058823529412,0.6065573770491803,0.0,0.0,0.7000000000000001,0.7000000000000001,0.3333333333333333,0.0,0.3333333333333333,1.0,0.5,0.75,0.75,0.75,0.6666666666666666,0.17682494684620836,0.8333333333333333,0.0,0.20804794520547945,0.24288052373158758,1.0,0.75,1.0,1.0,0.5643786363740402,0.0,0.0,0.5275673988897709,0.0,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.3333333333333333,0.41666666666666663,1.0,0.3333333333333333,0.6000000000000001,0.8,0.3364485981308411,0.3333333333333333,0.5,0.343441466854725,0.6666666666666666,1.0,1.0,0.2613768961493582,0.0,0.0,0.0,0.375,0.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.25,0.6666666666666666,0.75,0.0,0.0,0.0
375,376,11.018629143155449,0.05882352941176469,0.75,0.4403125963841563,0.3996973764259226,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,0.2272727272727273,0.4,1.0,0.75,0.6000000000000001,0.0,0.0,0.6397058823529411,0.9836065573770493,0.0,0.0,0.2,0.1,0.3333333333333333,0.0,0.0,0.0,0.25,0.25,0.0,1.0,0.3333333333333333,0.06201275690999292,0.8333333333333333,0.0,0.1425513698630137,0.11178396072013094,1.0,0.75,0.0,0.6666666666666666,0.37680168755787724,0.0,0.0,0.3522250372185227,0.3333333333333333,0.0,0.0,0.5,0.125,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.2,0.0,0.27102803738317754,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1818181818181818,0.75,0.6666666666666666,0.75,1.0,0.0,1.0
1126,1127,12.066810578196666,0.588235294117647,0.75,0.34266427477173456,0.20386586978311527,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.6818181818181819,0.4,1.0,1.0,0.6000000000000001,0.6666666666666665,0.5,0.014705882352941176,0.04918032786885246,1.0,0.0,1.0,1.0,0.6666666666666666,0.08125,0.6666666666666666,1.0,1.0,0.75,0.75,0.25,0.8333333333333333,0.0,0.8333333333333333,0.0,0.5877568493150684,0.22471358428805238,1.0,1.0,1.0,1.0,0.582064492408056,0.0,0.0,0.5440997062161967,0.0,0.0,0.6666666666666666,0.0,0.25,0.3333333333333333,0.6666666666666666,0.41666666666666663,1.0,0.3333333333333333,0.6000000000000001,0.8,0.018691588785046728,1.0,0.75,0.46544428772919605,0.6666666666666666,1.0,1.0,0.16686114352392065,0.03656307129798903,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.4545454545454545,0.75,0.6666666666666666,0.75,0.0,0.0,0.0
